Fecha,Activo,Tipo,Cantidad,Divisa operada,Precio unitario,Plataforma
05/01/2023 10:15,USD,Compra,50000.0,ARS,350.0,Galicia
22/08/2023 11:10,SPY,Compra,300.0,ARS,12500.0,IOL
10/11/2023 09:30,QQQ,Compra,500.0,ARS,15000.0,Balanz
05/01/2024 16:45,BTC,Compra,0.1,USD,43000.0,Binance
20/02/2024 12:00,USDT,Compra,5000.0,ARS,1050.0,Lemoncash
15/04/2024 11:30,SPY,Compra,300.0,ARS,28000.0,Bull Market
10/05/2024 14:15,QQQ,Compra,500.0,ARS,32000.0,Cocos Capital
15/06/2024 12:00,USD,Compra,30000.0,ARS,1000.0,PPI
15/08/2024 10:00,GLD,Compra,1000.0,ARS,11000.0,Balanz
10/10/2024 09:20,XRP,Compra,5000.0,USD,0.52,Bitso
20/12/2024 16:30,BTC,Compra,0.1,USD,95000.0,Buenbit
10/02/2025 10:00,USD,Compra,32500.0,ARS,1250.0,Brubank
20/03/2025 14:40,USDT,Compra,7500.0,ARS,1250.0,OKX
10/06/2025 10:15,QQQ,Compra,500.0,ARS,45000.0,IOL
15/09/2025 09:45,XRP,Compra,5000.0,USD,0.58,Ripio
05/11/2025 12:30,GLD,Compra,2000.0,ARS,14500.0,Inviu
20/01/2026 15:20,BTC,Compra,0.05,USD,105000.0,Bybit
15/06/2026 11:10,SPY,Compra,200.0,ARS,15000.0,PPI
